ranking,seccion_censal,SEED_score,latitud,longitud,nombre_provincia,f_of_m,density,dependence,rent,saturation,score_demanda,score_renta,saturation_norm
35,2800601050,0.7684843679240106,40.546145,-3.658773,Madrid,0.158327696344476,0.069,0.0166326211245886,73259.5,0.146826404230381,0.6140194126918925,0.9961108921790959,0.6248751689401373
36,4314803003,0.7669493745415967,41.119461,1.264708,Tarragona,0.126674459096611,0.399,0.0152175049933263,69190.5,0.128468807457134,0.6368986421175918,0.9377003734934368,0.7017655746087037
37,3120104024,0.7664163383793404,42.807767,-1.651742,Navarra,0.123318909304855,0.059,0.012836772546358,74718.5,0.153864699358696,0.6266637204106407,0.9877708784687073,0.5953954187137946
38,2811501028,0.7634980088622155,40.400272,-3.806029,Madrid,0.161894117187533,1.624,0.0166326211245886,74815.5,0.146826404230381,0.6109313626828947,0.9871190507847308,0.6248751689401373
39,2804501021,0.7589219618050825,40.666855,-3.781297,Madrid,0.14844405827992,0.387,0.0166326211245886,70246.0,0.146826404230381,0.6237054819380115,0.9613080489798921,0.6248751689401373
40,2807908007,0.7582684291011338,40.475132,-3.739595,Madrid,0.111095757877221,0.123,0.0166326211245886,82069.5,0.146826404230381,0.6599498854686779,0.9188992632480205,0.6248751689401373
41,2812901005,0.7579399205661433,40.661859,-3.606209,Madrid,0.14174509131952,2.815,0.0166326211245886,69777.5,0.146826404230381,0.6308099329843625,0.950860438455399,0.6248751689401373
42,4806902003,0.7559268635113363,43.330562,-2.868744,Bizkaia,0.135012924243607,6.107,0.0168654553108343,68434.0,0.136981228155452,0.6394691999553955,0.9206225035951036,0.6661114806224459
43,2807902094,0.7552095991183128,40.404575,-3.709505,Madrid,0.130686934921941,0.036,0.0166326211245886,68968.5,0.146826404230381,0.6408827893273511,0.9327026714499604,0.6248751689401373
44,801910055,0.7531961083844319,41.389776,2.200015,Barcelona,0.133010354547074,0.443,0.0152175049933263,68690.0,0.138771432139735,0.630749823973324,0.9264167505740857,0.6586132491120118
45,2003601012,0.752472781720269,43.368674,-1.800918,Gipuzkoa,0.137533811785194,0.167,0.0168654553108343,66655.0,0.113768470496135,0.6355703215537893,0.8799137332019603,0.7633376249351969
46,808901008,0.7451214666950738,41.267442,2.015061,Barcelona,0.157185337894793,0.895,0.0152175049933263,80818.5,0.138771432139735,0.6073579117080655,0.9325460476491064,0.6586132491120118
47,3108601004,0.7438621286500234,42.821422,-1.572507,Navarra,0.15307445568347,1.587,0.012836772546358,70345.0,0.153864699358696,0.5981088976891644,0.9635095297070755,0.5953954187137946
48,4101701013,0.7420916857122468,37.380992,-6.067299,Sevilla,0.151569199635025,0.345,0.0183908775864993,89015.0,0.0997773864504768,0.6305639414305976,0.8376176610090462,0.8219389844323957
49,4105901016,0.7331106850830129,37.336787,-6.040921,Sevilla,0.131318532283314,1.857,0.0183908775864993,62958.5,0.0997773864504768,0.6506195831124127,0.7926025625439198,0.8219389844323957
50,1101208019,0.7321385907794631,36.525153,-6.285432,Cádiz,0.10578797739522,0.053,0.0183908775864993,61571.0,0.0972402363452947,0.6749997226391746,0.7587596199923065,0.8325657839660796
